"Species"	"Family1"	"Order1"	"Sequence"	"Avibase.ID1"	"Mass"	"Habitat"	"Habitat.Density"	"Migration"	"Trophic.Level"	"Trophic.Niche"	"Primary.Lifestyle"	"Range.Size"	"Centroid.Latitude"
"Accipiter gentilis"	"Accipitridae"	"Accipitriformes"	3128	"AVIBASE-420850D6"	866	"Forest"	1	2	"Carnivore"	"Vertivore"	"Generalist"	31775270.74	54.91
"Accipiter nisus"	"Accipitridae"	"Accipitriformes"	3120	"AVIBASE-DB376A66"	220.8	"Forest"	1	2	"Carnivore"	"Vertivore"	"Insessorial"	23601609.31	54.67
"Buteo buteo"	"Accipitridae"	"Accipitriformes"	3203	"AVIBASE-3C0C325D"	759.1	"Grassland"	3	2	"Carnivore"	"Vertivore"	"Insessorial"	11719424.27	52.89
"Circus aeruginosus"	"Accipitridae"	"Accipitriformes"	3068	"AVIBASE-E2A19474"	704.1	"Wetland"	3	2	"Carnivore"	"Vertivore"	"Aerial"	13390803.81	50.03
"Alopochen aegyptiaca"	"Anatidae"	"Anseriformes"	450	"AVIBASE-DA2F24E3"	1873	"Wetland"	3	2	"Herbivore"	"Omnivore"	"Generalist"	17452607.3	-2.2
"Anas platyrhynchos"	"Anatidae"	"Anseriformes"	525	"AVIBASE-85625D75"	843.4	"Wetland"	3	2	"Herbivore"	"Herbivore aquatic"	"Aquatic"	39707247.47	51.63
"Anser anser"	"Anatidae"	"Anseriformes"	414	"AVIBASE-4AED44E8"	3302.4	"Wetland"	3	3	"Herbivore"	"Herbivore terrestrial"	"Terrestrial"	13285537.12	51.74
"Aythya ferina"	"Anatidae"	"Anseriformes"	480	"AVIBASE-A96692E0"	823	"Wetland"	3	1	"Herbivore"	"Herbivore aquatic"	"Aquatic"	16611109.18	53.5
"Aythya fuligula"	"Anatidae"	"Anseriformes"	489	"AVIBASE-67CEA1C1"	701.2	"Wetland"	3	2	"Omnivore"	"Herbivore aquatic"	"Aquatic"	20377977.97	57.84
"Branta canadensis"	"Anatidae"	"Anseriformes"	408	"AVIBASE-B59E1863"	2811.7	"Grassland"	3	3	"Herbivore"	"Herbivore terrestrial"	"Terrestrial"	12236810.45	53.3
